"統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","離婚人數","離婚比例","未婚比例","每戶平均用電度數","每人平均用電度數"
10305,"臺北市","大安區仁慈里",1731504,4629,0.2011,0.4139,0.385,1971,5200838,993,1742,2048,5859,0.5219,0.4779,0.2835,0.2203,0.3738,0.1224,13,9,4,3,2,1420,"69.61%",166,"8.14%","13.63%",845.46,295.53
10305,"臺北市","大安區通安里",1454197,5161,0.1186,0.3445,0.5369,1963,2280170,698,1007,2364,5902,0.5285,0.4715,0.1962,0.2769,0.386,0.141,9,5,4,13,2,1442,"61.08%",227,"9.61%","17.58%",615.14,246.39
10305,"臺北市","大安區通化里",1741831,5673,0.1052,0.3164,0.5784,2084,2343498,653,910,2607,6474,0.5221,0.4779,0.185,0.2994,0.3825,0.1335,10,5,5,10,4,1538,"58.90%",288,"11.03%","19.38%",668.14,269.05
10305,"臺北市","大安區臥龍里",600306,1712,0.1799,0.3703,0.4498,705,1059328,817,1228,788,1974,0.5365,0.463,0.2026,0.2584,0.3678,0.1712,2,1,1,1,3,523,"64.33%",65,"8.00%","15.38%",761.81,304.11
10305,"臺北市","大安區新龍里",1274872,6049,0.1871,0.4171,0.3958,2357,3360532,896,1399,2657,7374,0.5256,0.4744,0.2556,0.2372,0.386,0.1212,14,8,6,15,4,1860,"70.72%",200,"7.60%","12.78%",479.82,172.89
10305,"臺北市","大安區學府里",674983,2633,0.1922,0.2328,0.575,810,994145,745,1186,1180,2986,0.4762,0.5238,0.1654,0.206,0.3838,0.2445,3,0,3,6,1,660,"57.49%",126,"10.98%","15.16%",572.02,226.05
10305,"臺北市","大安區義安里",1739159,4961,0.181,0.4164,0.4025,2083,5742991,942,1675,2203,5728,0.5475,0.4525,0.1995,0.2573,0.3795,0.1634,8,2,6,17,2,1417,"64.59%",209,"9.53%","17.05%",789.45,303.62
10305,"臺北市","大安區義村里",1394306,5582,0.1512,0.385,0.4638,2202,2866270,747,1119,2555,6140,0.5213,0.4787,0.157,0.2502,0.4134,0.1795,7,4,3,6,2,1591,"62.25%",257,"10.05%","16.74%",545.72,227.09
10305,"臺北市","大安區永康里",1154569,3261,0.1769,0.3919,0.4312,1314,2022230,900,1376,1480,4094,0.5271,0.4729,0.267,0.2423,0.3615,0.1295,6,3,3,6,0,1047,"70.08%",122,"8.17%","13.19%",780.11,282.01
10305,"臺北市","大安區正聲里",1787351,4406,0.1791,0.4115,0.4094,1865,3340407,823,1419,1966,5189,0.5338,0.466,0.2166,0.2498,0.3804,0.153,10,6,4,7,4,1259,"64.50%",181,"9.27%","16.70%",909.13,344.45
10305,"臺北市","大安區住安里",1694490,4796,0.1203,0.3545,0.5252,1773,2493547,752,997,2310,5600,0.5312,0.4689,0.2014,0.2539,0.3804,0.1643,7,4,3,5,4,1296,"56.37%",302,"13.14%","18.49%",733.55,302.59
10305,"臺北市","大同區保安里",880343,3818,0.0812,0.2614,0.6574,1272,1366530,613,731,1629,4314,0.5065,0.4933,0.1866,0.2898,0.3649,0.1586,11,8,3,6,1,1018,"60.45%",163,"9.68%","16.98%",540.42,204.07
10305,"臺北市","大同區朝陽里",1250197,4037,0.0899,0.2933,0.6168,1430,1628668,642,865,1917,4508,0.5226,0.4776,0.1921,0.303,0.3744,0.1304,9,4,5,9,2,1156,"57.57%",249,"12.40%","20.07%",652.16,277.33
10305,"臺北市","大同區大有里",1408922,4475,0.0673,0.2965,0.6362,1715,1721888,606,826,1901,5219,0.5145,0.4855,0.21,0.3043,0.3549,0.1309,5,4,1,5,2,1221,"63.20%",196,"10.14%","15.79%",741.15,269.96
10305,"臺北市","大同區光能里",966095,4634,0.076,0.2687,0.6554,1644,1528727,618,771,2050,5552,0.513,0.487,0.2334,0.2839,0.3563,0.1264,6,5,1,7,1,1284,"63.50%",194,"9.59%","17.11%",471.27,174.01
10305,"臺北市","大同區國慶里",1112373,3951,0.0931,0.3141,0.5928,1476,1532891,690,963,1740,4465,0.5196,0.4804,0.1863,0.3252,0.3689,0.1196,8,4,4,9,1,1152,"63.09%",151,"8.27%","18.78%",639.29,249.13
10305,"臺北市","大同區國順里",580808,2745,0.0423,0.2011,0.7566,794,558208,528,517,1149,3124,0.4802,0.5198,0.1741,0.3022,0.3841,0.1396,8,5,3,3,2,583,"51.10%",169,"14.81%","19.11%",505.49,185.92
10305,"臺北市","大同區建功里",1302099,4183,0.0755,0.2577,0.6667,1422,1377405,619,787,1974,4870,0.5195,0.4805,0.1951,0.285,0.3832,0.1368,12,3,9,4,3,1167,"58.58%",241,"12.10%","19.48%",659.62,267.37
10305,"臺北市","大同區建明里",1713481,3163,0.0904,0.3241,0.5855,1244,1419838,595,829,1484,3598,0.5111,0.4886,0.1873,0.2943,0.378,0.1401,3,3,0,5,1,895,"59.39%",200,"13.27%","17.92%",1154.64,476.23
10305,"臺北市","大同區建泰里",1442108,3390,0.0985,0.3142,0.5873,1326,1370783,680,872,1600,4021,0.5153,0.4845,0.2266,0.3116,0.3377,0.1243,9,5,4,12,0,1001,"61.49%",149,"9.15%","19.90%",901.32,358.64
10305,"臺北市","大同區景星里",644983,2569,0.0642,0.2028,0.733,760,555214,568,586,1146,2926,0.4949,0.5051,0.1763,0.3018,0.366,0.1562,7,4,3,6,1,589,"50.64%",180,"15.48%","21.50%",562.81,220.43
