"","統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","設有戶籍宅數","設有戶籍宅數之平均人口數","單身或頂客家庭","核心家庭","折衷或大家庭","總戶長數","戶長平均年齡","少年戶長數","青年戶長數","壯年戶長數","老年戶長數","每戶平均老年人口數","獨居老人宅數","一名老年人口宅數","二名以上老年人口宅數","有偶人數","離婚人數","未婚人數","便利商店數","每戶平均用電度數","每人平均用電度數","quanpower","每人平均用電金額","diff北投","diff大安","diff大同","diff南港","diff內湖","diff士林","diff松山","diff萬華","diff文山","diff信義","diff中山","diff中正","diff北市"
"36",10401,"臺北市","北投區智仁里",848322,5655,0.0812,0.2916,0.6272,1882,1638950,628,742,2320,6642,0.5221,0.4779,0.2188,0.3144,0.3484,0.1186,14,8,6,9,3,1730,3.84,588,575,567,2322,53.92,33,714,1059,516,0.36,105,76,29,1440,273,355,0,365.66,127.72,1,638.6,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-780.028795909978
"37",10401,"臺北市","北投區中和里",1280994,4631,0.0993,0.3204,0.5802,1691,1725134,671,823,1952,5264,0.518,0.482,0.1805,0.3066,0.3647,0.1482,7,4,3,8,0,1552,3.38,662,491,399,1955,55.83,26,518,892,519,0.42,137,109,28,1193,213,300,0,656.25,243.35,43,1216.75,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,12.4279320596347,-201.878795909978
"38",10401,"臺北市","北投區中心里",1397138,5981,0.1002,0.3321,0.5678,2112,2341365,668,894,3010,6632,0.5386,0.4614,0.1794,0.2984,0.3935,0.1285,12,8,4,6,1,2559,2.6,1474,733,352,3028,53.01,80,912,1430,606,0.3,256,215,41,1625,477,671,2,464.17,210.67,27,1053.35,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-508.293004739649,-365.278795909978
"39",10401,"臺北市","北投區中央里",2248407,7926,0.0908,0.2899,0.6192,2802,3006807,692,886,3423,9246,0.5176,0.4824,0.21,0.3052,0.3746,0.11,19,12,7,6,4,2644,3.46,1113,839,692,3415,54.09,54,973,1666,722,0.32,168,137,31,2148,377,538,2,656.85,243.18,43,1215.9,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-212.861253893436,-202.728795909978
"40",10401,"臺北市","北投區中庸里",603566,4074,0.0739,0.2857,0.6404,1375,1282769,622,752,1768,4588,0.5148,0.4852,0.1792,0.3243,0.3622,0.1343,6,4,2,1,1,1346,3.42,557,446,343,1769,55.25,30,475,807,457,0.37,111,83,28,1106,202,266,1,341.38,131.55,2,657.75,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-536.550520333528,-760.878795909978
"41",10401,"臺北市","北投區洲美里",221435,1925,0.04,0.2239,0.7361,607,475581,554,620,870,2262,0.4907,0.5088,0.2087,0.3121,0.355,0.1238,6,4,2,0,1,258,8.76,53,45,160,871,54.08,11,283,377,200,0.33,10,8,2,563,74,130,0,254.52,97.89,1,489.45,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-835.531467519037,-929.178795909978
"42",10401,"臺北市","北投區尊賢里",748470,4225,0.0937,0.3077,0.5986,1504,1434199,673,800,1760,5156,0.5273,0.4727,0.2432,0.3053,0.3351,0.1166,11,6,5,8,0,1280,4,391,439,450,1776,54.11,22,562,771,421,0.37,81,57,24,1189,186,223,0,425.27,145.16,3,725.8,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-734.838366877358,-692.828795909978
"43",10401,"臺北市","大安區昌隆里",873011,2872,0.1657,0.414,0.4203,1238,1805010,828,1376,1166,3182,0.528,0.472,0.1464,0.2275,0.3966,0.2294,2,1,1,4,0,954,3.29,414,321,219,1164,60.6,16,195,522,431,0.64,114,63,51,751,98,177,1,748.72,274.36,55,1371.8,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-85.9211824949382,-46.828795909978
"44",10401,"臺北市","大安區車層里",2092747,5701,0.1677,0.4299,0.4024,2504,4611698,860,1505,2488,6722,0.5393,0.4609,0.2074,0.2413,0.3707,0.1806,6,4,2,1,2,1988,3.34,859,650,479,2492,57.8,34,548,1117,793,0.51,211,143,68,1631,246,383,3,841.14,311.33,67,1556.65,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,241.031738683128,138.021204090022
"45",10401,"臺北市","大安區誠安里",1246607,3890,0.1434,0.3979,0.4586,1620,2542885,745,1035,1844,4370,0.5391,0.4606,0.1648,0.2604,0.3954,0.1789,3,2,1,8,1,1500,2.88,776,458,266,1829,57.15,29,437,809,554,0.45,165,132,33,1111,180,352,1,676.03,285.26,59,1426.3,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,243.160328435609,7.67120409002177
"46",10401,"臺北市","大安區大學里",1839941,7589,0.2322,0.391,0.3769,3143,4821679,929,1401,3551,8954,0.5321,0.4679,0.2205,0.2368,0.3765,0.1662,13,6,7,6,0,2725,3.26,1234,876,615,3539,56.45,69,852,1609,1009,0.44,296,207,89,2375,263,582,2,518.15,205.49,24,1027.45,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-421.337572624852,-391.178795909978
